trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,0,-133.60161170221792,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-62.46475042798069,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,0,-182.66610949889792,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",35,0,-207.56280084984573,"{0: 21, 1: 3, 2: 7, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",30,7,-114.04033159928622,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 3}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-66.62586290591467,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",30,0,-160.34211966475672,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-8.461444589754361,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",20,0,-53.1191855107403,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578535}",30,19,-0.41630390171734977,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,8,-67.00189712669685,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-22.27794192012884,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,6,-9.237926860754396,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,-32.74582533182786,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690778}",30,0,-135.91700223871774,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,3,-50.3259757101144,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,0,-54.737271594416704,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,0,-12.720253541284539,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,0,-26.11488838420498,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",35,0,-154.5317055229075,"{0: 21, 1: 3, 2: 9, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",30,13,-42.61042107762788,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,-35.1728051294318,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,6,-60.6416012781367,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,0,-39.66670080473243,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,9,-66.38162360541595,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
48,False,"{'a': 0.5, 'e': 0.617290140942288}",30,0,-0.9120312007855562,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.611117239532865}",25,17,8.134565254568365,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",25,15,-28.660109157694244,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.598956006466161}",25,7,-88.27658793058227,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,8,-30.768964259921766,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",35,13,-12.660508996605362,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,10,-17.468455990448074,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
